Project Name,Number of Packages,Number of APIs,Time Taken (seconds)
1283684_phase1,5,7,12.55
1284577_phase1,4,6,11.39
1285742_phase1,5,9,10.76
1288025_phase1,2,17,6.58
1288160dad16cc473a53_phase1,2,2,6.34
1289286_phase1,2,4,7.58
1290744_phase1,2,8,6.73
12da69b95d010c8a810fd384cca8d02a_phase1,1,2,10.72
1303651_phase1,4,6,3.57
130583_phase1,5,3,4.81
1306719_phase1,9,26,15.58
1308865_phase1,4,4,11.85
1309895_phase1,4,11,4.2
130cd92dc47c56c47030_phase1,5,8,14.0
1310549_phase1,3,5,10.56
1315148_phase1,4,6,4.52
1320970_phase1,2,4,5.53
1321295_phase1,1,0,7.2
1321575_phase1,3,14,8.27
1321585_phase1,6,17,16.3
1323194_phase1,2,2,4.83
1326477_phase1,7,7,14.12
1327072_phase1,5,6,10.41
1329319_phase1,4,4,8.26
1337131_phase1,4,8,8.74
1338222_phase1,3,4,6.92
1342497_phase1,6,7,11.68
1342942_phase1,2,7,6.84
1343455_phase1,2,5,6.82
134acb5f7423312effcc98ec56679136_phase1,2,3,5.4
1350641_phase1,2,5,7.44
1351047_phase1,5,7,6.47
1352028_phase1,4,3,6.37
1355170_phase1,4,8,10.63
1357185_phase1,2,13,6.94
1358794_phase1,7,21,9.35
1361643_phase1,18,36,30.06
13623f68e36fdad4cb67_phase1,6,14,14.44
1362a8908be01e23041d_phase1,4,6,9.21
1363730_phase1,4,9,7.87
1369619_phase1,3,4,7.81
1372780_phase1,3,7,8.85
137653_phase1,2,3,6.48
137667_phase1,5,13,11.56
1379479_phase1,4,7,9.12
1379652_phase1,5,9,15.32
1381489_phase1,4,9,11.98
1382972_phase1,4,8,10.43
1387470_phase1,10,25,20.34
1388243_phase1,1,0,3.73
1395810_phase1,3,5,7.73
139f710ca91ed5fabaf9e6616d2c762b_phase1,2,2,7.84
13f02f45a41ad90f454f_phase1,8,17,15.55
1401195_phase1,5,7,9.87
1402892_phase1,2,4,12.93
1410088_phase1,3,11,7.78
1410094_phase1,4,9,9.6
1411980_phase1,6,17,16.29
1417f55cb896a44e68a6_phase1,2,7,6.03
1423116_phase1,11,25,19.55
1423373_phase1,3,7,9.94
1424374_phase1,8,13,15.61
1433392_phase1,6,10,14.66
1433794_phase1,7,12,12.11
1435045_phase1,4,6,9.82
1435555_phase1,2,6,8.62
1436671_phase1,4,10,9.91
143e65a425722dc2f3d0_phase1,5,6,5.75
1440567_phase1,3,10,8.67
1440754_phase1,4,4,8.55
1441019_phase1,4,18,7.21
144747_phase1,2,2,5.24
1451300_phase1,5,15,14.28
1453629_phase1,4,1,4.49
1459283a9c934cbc41f3_phase1,10,17,20.55
1467584_phase1,6,7,10.5
1473120_phase1,3,3,7.24
1483322_phase1,3,6,7.74
1486762_phase1,2,4,6.16
1495011_phase1,8,10,20.45
1497850_phase1,4,6,10.51
14a8d6bf4783f4704c8a_phase1,6,7,11.4
14f34c2b8153d9b4f336df8535b3416a_phase1,6,13,20.34
1507152_phase1,2,5,5.78
1509946_phase1,2,3,4.16
1516095_phase1,1,6,6.52
1519543_phase1,2,3,5.89
1521059_phase1,4,24,11.62
1522bcdb5b05365c0222_phase1,2,10,6.67
1526444_phase1,2,4,7.47
152f15b2dadca9a74039aeab944714af_phase1,6,31,10.93
1534135a419bb0b957b9_phase1,3,9,9.34
1545255_phase1,3,5,9.09
1551619_phase1,5,13,14.06
1554441_phase1,5,6,9.67
1556251_phase1,2,6,6.63
1558831_phase1,2,4,8.21
1561144_phase1,2,5,6.83
1567224_phase1,2,6,6.07
1572547_phase1,7,7,15.12
1574231_phase1,3,7,9.6
1589531_phase1,9,16,25.39
1590178_phase1,2,9,7.66
15b3c2a2e9bc7a3c345138a32e029969_phase1,5,15,8.87
15f0772db25343be0bb7072f15992a4e_phase1,7,16,9.75
1600408_phase1,2,3,5.8
1608287_phase1,5,5,11.02
160c990c61c5f527445c_phase1,4,8,4.25
1610922_phase1,2,9,6.38
1628838_phase1,3,5,6.11
1638546_phase1,12,13,28.83
1638695_phase1,4,5,9.78
1639941_phase1,5,10,12.81
163f5fdf47ab45d7addd_phase1,6,8,8.06
1646117_phase1,3,6,9.51
1650115_phase1,4,8,9.27
1650418_phase1,3,8,8.64
1653394_phase1,6,12,7.65
166499794efcdfde4d00_phase1,7,8,17.37
1676440_phase1,7,9,15.32
1679110_phase1,5,9,13.59
1685139_phase1,7,15,19.37
1685580_phase1,4,11,10.04
1688557_phase1,2,3,4.78
168c9d74b988391e702aac5f4aa69e41_phase1,11,11,23.44
1693769_phase1,3,8,9.59
